GEOID,NAME,incomeE,incomeM,povE,povM,povdenE,povdenM,pov_rate,pov_moe
29099,"Jefferson County, Missouri",82851,2327,20464,1895,226700,391,0.09026907807675341,0.008357614808460513
29033,"Carroll County, Missouri",62154,4087,1137,265,8302,21,0.13695495061430982,0.03191813931401187
29039,"Cedar County, Missouri",48181,4496,2448,596,14413,5,0.16984666620412128,0.0413515156434082
29197,"Schuyler County, Missouri",61205,8487,344,83,4019,10,0.08559343120179148,0.020650805296789677
29201,"Scott County, Missouri",62782,4395,4778,661,37304,99,0.12808277932661377,0.01771601877787694
29183,"St. Charles County, Missouri",104692,1179,21208,1779,407654,411,0.05202451098235268,0.004363679733657718
29013,"Bates County, Missouri",60733,4639,2500,517,15766,70,0.15856907268806292,0.03278452563738709
29087,"Holt County, Missouri",61187,1572,422,106,4126,18,0.10227823557925352,0.025686866572112648
29171,"Putnam County, Missouri",63510,7766,710,232,4574,2,0.15522518583296896,0.05072142376161153
29037,"Cass County, Missouri",87535,3248,6827,959,109326,171,0.06244626163950021,0.008771386015411938
29019,"Boone County, Missouri",72758,1612,29518,1947,178019,355,0.16581376145242924,0.01093203521595788
29159,"Pettis County, Missouri",60430,3404,6649,803,42628,54,0.15597729192080323,0.018836347588157512
29027,"Callaway County, Missouri",74176,2935,4785,916,41077,186,0.11648854590159943,0.022293344508618182
29113,"Lincoln County, Missouri",89278,1971,6350,1094,62094,270,0.10226430895094533,0.017612837056509477
29123,"Madison County, Missouri",54434,4204,1647,498,12481,22,0.13196058008172423,0.0398999709879145
29207,"Stoddard County, Missouri",57957,3823,4238,598,28003,89,0.15134092775774025,0.021349437171940933
29143,"New Madrid County, Missouri",51881,4292,2707,379,15308,74,0.17683564149464331,0.024743534326671937
29095,"Jackson County, Missouri",68577,1129,100002,3896,709791,560,0.14088936038918498,0.005487814067067416
29157,"Perry County, Missouri",62981,3485,2570,532,18551,139,0.13853700609131583,0.028658906382369186
29023,"Butler County, Missouri",49089,3075,8439,998,41159,215,0.20503413591195122,0.024223765183830286
29195,"Saline County, Missouri",57931,4575,3558,545,21676,110,0.16414467613950914,0.025129212981835628
29169,"Pulaski County, Missouri",64466,5463,5498,987,43391,281,0.12670830356525548,0.022731847227107353
29015,"Benton County, Missouri",52567,3278,3946,631,19859,54,0.19870084092854626,0.031769412635376755
29041,"Chariton County, Missouri",71520,3182,625,137,7119,24,0.08779322938614974,0.01924199973258818
29029,"Camden County, Missouri",66387,4915,5450,696,43240,74,0.12604070305272896,0.0160947618434912
29031,"Cape Girardeau County, Missouri",68464,3198,11018,1155,78993,299,0.13948071348094135,0.014612013941580598
29069,"Dunklin County, Missouri",47849,4146,5879,556,26692,104,0.2202532594035666,0.020812526103810902
29189,"St. Louis County, Missouri",82936,1390,95259,4455,972716,1178,0.09793094798481777,0.004578423800916167
29017,"Bollinger County, Missouri",63814,13535,1420,346,10418,41,0.13630255327318103,0.03320741664549892
29139,"Montgomery County, Missouri",65500,5054,1550,231,11158,23,0.138913783832228,0.020700654545208346
29179,"Reynolds County, Missouri",45028,7093,1007,193,5815,41,0.17317282889079966,0.033167559202953584
29067,"Douglas County, Missouri",45985,4512,2076,394,11831,41,0.17547121967711943,0.033296789069224314
29151,"Osage County, Missouri",76681,5883,1127,215,13095,61,0.08606338297059947,0.01641358494609547
29121,"Macon County, Missouri",62357,5108,1423,288,14949,24,0.0951903137333601,0.019264896559075723
29061,"Daviess County, Missouri",63984,2702,951,223,8316,34,0.11435786435786435,0.026811700445953553
29049,"Clinton County, Missouri",70627,2764,2585,610,21021,14,0.12297226582940869,0.029018484873720253
29063,"DeKalb County, Missouri",69826,11753,773,209,8913,125,0.08672725232806014,0.02341732859089085
29071,"Franklin County, Missouri",73165,2639,8534,934,104520,217,0.0816494450822809,0.00893448077683174
29167,"Polk County, Missouri",59647,3036,5093,874,31242,34,0.1630177325395301,0.02797459910367075
29055,"Crawford County, Missouri",57629,4620,3150,548,22415,60,0.14053089449029668,0.024445020183110396
29145,"Newton County, Missouri",66301,3221,7921,1022,58759,139,0.13480488095440699,0.01739015658141327
29133,"Mississippi County, Missouri",48160,7079,2002,412,10516,18,0.1903765690376569,0.03917703963213914
29163,"Pike County, Missouri",54989,5518,2552,512,15981,50,0.15968963143733184,0.03203414920559525
29081,"Harrison County, Missouri",54367,4510,1559,298,7972,126,0.19555945810336176,0.037252827182399535
29217,"Vernon County, Missouri",52230,3655,3574,685,19023,65,0.18787783209798664,0.03600331883152948
29083,"Henry County, Missouri",57926,4524,3143,622,22017,74,0.14275332697461052,0.02824682239908293
29187,"St. Francois County, Missouri",57477,4527,9814,1201,61571,201,0.15939322083448376,0.01949899463147797
29089,"Howard County, Missouri",65938,7076,1130,252,9386,50,0.12039207330066055,0.02684083674122748
29077,"Greene County, Missouri",61479,1008,40025,2757,293291,292,0.13646855853060613,0.009399238311948154
29223,"Wayne County, Missouri",47226,4530,2741,653,10658,39,0.25717770688684555,0.06126130294024302
29091,"Howell County, Missouri",50993,2030,8044,1243,39608,110,0.20309028479095131,0.03137748006854884
29209,"Stone County, Missouri",63520,2592,4400,520,31617,101,0.13916563873865326,0.016440838800450674
29119,"McDonald County, Missouri",52375,4081,3947,595,23526,40,0.16777182691490267,0.025289558512777123
29213,"Taney County, Missouri",56497,3805,8564,1210,54805,118,0.15626311467931758,0.022075713832776785
29011,"Barton County, Missouri",51635,5457,2330,505,11544,61,0.20183645183645182,0.043732665680648625
29051,"Cole County, Missouri",74876,3475,6602,759,72977,160,0.09046685942146156,0.010398645680093684
29021,"Buchanan County, Missouri",62158,2788,12864,1149,80298,149,0.16020324292012256,0.01430611002349271
29165,"Platte County, Missouri",96227,2175,7673,1038,109251,119,0.07023276674813045,0.009500749214850935
29147,"Nodaway County, Missouri",59315,3123,3122,414,18265,55,0.17092800437996167,0.022660457029317627
29111,"Lewis County, Missouri",59934,3745,1161,271,9149,49,0.1268991146573396,0.029612925390127384
29097,"Jasper County, Missouri",60694,2793,20689,1955,121950,305,0.16965149651496514,0.016025544240666628
29009,"Barry County, Missouri",58346,2677,5228,786,34421,168,0.15188402428749892,0.022822861328195627
29173,"Ralls County, Missouri",65388,6991,1178,249,10356,10,0.11375048281189648,0.024043781552632922
29129,"Mercer County, Missouri",62679,14517,461,185,3424,3,0.1346378504672897,0.05403024505371351
29153,"Ozark County, Missouri",44163,3934,1890,434,8801,27,0.21474832405408475,0.049308177082071115
29085,"Hickory County, Missouri",39390,3056,1659,314,8395,34,0.1976176295413937,0.03739465216217159
29065,"Dent County, Missouri",56312,4171,1756,303,14369,17,0.1222075300995198,0.0210865667479785
29101,"Johnson County, Missouri",67272,2697,5956,937,50430,203,0.11810430299424945,0.018574126936755562
29203,"Shannon County, Missouri",55222,9830,1244,248,6898,169,0.18034212815308784,0.0356799213880294
29073,"Gasconade County, Missouri",64232,4524,1818,281,14449,72,0.12582185618381894,0.019437603463936654
29109,"Lawrence County, Missouri",61215,4968,5470,825,37649,209,0.14528938351616244,0.021898084540960584
29079,"Grundy County, Missouri",51975,3908,1668,309,9488,22,0.17580101180438448,0.03256490244057953
29215,"Texas County, Missouri",50036,4346,4673,700,23585,77,0.19813440746237015,0.02967283128370511
29175,"Randolph County, Missouri",53033,6062,3118,566,22464,94,0.13879985754985755,0.025189173832498104
29117,"Livingston County, Missouri",63627,5612,1560,309,13060,52,0.11944869831546708,0.023655250035042746
29125,"Maries County, Missouri",59455,10375,1133,304,8384,2,0.13513835877862596,0.03625952765419438
29205,"Shelby County, Missouri",51594,5271,915,207,5746,46,0.15924121127741037,0.03600249792099877
29057,"Dade County, Missouri",53750,4344,940,173,7481,16,0.125651650848817,0.02312368908717803
29185,"St. Clair County, Missouri",53043,6049,1364,243,9292,84,0.14679294016358158,0.026117838020739345
29199,"Scotland County, Missouri",68913,9762,336,149,4596,42,0.0731070496083551,0.03241261080007055
29105,"Laclede County, Missouri",53282,2805,6529,969,35871,153,0.18201332552758495,0.02700230703621776
29131,"Miller County, Missouri",56736,5476,3573,649,24858,67,0.14373642288196958,0.0261054205898519
